,indice,page_number,line_number,text,text_type,speaker,time_added
2736,7524,290,10,Do you recall whether that change in procedure was limited only to the Abacus 2006-10 securities or for all of Astra's securities?,q,MR. CROKE,start_answer
2737,7528,290,14,"Oh, that I recall, for everything.",a,THE WITNESS,start_question
2738,7530,290,16,It was for everything?,q,MR. CROKE,start_answer
2739,7531,290,17,Yes.,a,THE WITNESS,start_question
2740,7532,290,18,Okay. So just a few specific months in here I want to draw your attention to. Do you see that for month-end August 2016 the price is listed as 30.22 rounded?,q,MR. CROKE,start_answer
2741,7538,290,24,Month?,a,THE WITNESS,start_question
2742,7539,290,25,August 2016.,q,MR. CROKE,start_answer
2743,7541,291,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_answer
2744,7542,291,2,Yeah.,a,THE WITNESS,start_question
2745,7543,291,3,"And then before the next month's valuation at the end of September 2016, there are two trades that Astra entered into, if you look back at Exhibit 2.",q,MR. CROKE,start_answer
2746,7547,291,7,Uh-huh.,a,THE WITNESS,start_question
2747,7548,291,8,There is a sale of 10 million of the Abacus 2006-10 notes at a price of 47.75 and a purchase of $25 million at a price of 27.,q,MR. CROKE,start_answer
2748,7552,291,12,Uh-huh.,a,THE WITNESS,start_question
2749,7553,291,13,"Do you have any understanding as to why the valuation listed in this chart, you know, is essentially unchanged from the end of August 2016 to the end of September 2016?",q,MR. CROKE,start_chat
2750,7558,291,18,Objection.,side_chat,MR. ITKIN,start_answer
2751,7559,291,19,"Valuation policy that we have would have gone through that procedure, would have resulted in the price that is we see here. And as I said, there is no specific recollection why it isn't changed.",a,THE WITNESS,start_question
2752,7565,291,25,I'm just trying to understand,q,MR. CROKE,start_answer
2753,7567,292,1,"Mathur - Attorneys' Eyes Only whether there might have been a change in the policy just because I think the last time we looked at it there was a purchase and a sale, a purchase at 30.5 and a sale at 52.5, and in the next valuation period the price had moved to match the purchase price.",a,THE WITNESS,start_answer
2754,7575,292,9,Uh-huh.,a,THE WITNESS,start_question
2755,7576,292,10,"Whereas in this period there is a sale above the valuation on a purchase below and the price seems to have moved, 0.02. So I'm just trying to understand whether there is any sort of difference in the policy between the way the policy operated in 2015 and the way it operated in 2016 that might explain why you don't see a move one way or the other here.",q,MR. CROKE,start_chat
2756,7586,292,20,Objection.,side_chat,MR. ITKIN,start_answer
2757,7587,292,21,"I wouldn't know if there was a specific change on that date or month.  But if you asked me to make a guess, I would say the valuation policy is being followed fairly strictly and there is no change on",a,THE WITNESS,start_answer
2758,7593,293,1,Mathur - Attorneys' Eyes Only an asset by asset level for the policy. The policy is for all assets that's out there.,a,THE WITNESS,start_question
2759,7597,293,5,"Do you know whether -- sorry, go ahead.",q,MR. CROKE,start_answer
2760,7599,293,7,So what was I saying?  I was saying that the valuation policy is not for specific assets.  It is for all assets. And that policy needs to be followed across the board.,a,THE WITNESS,start_question
2761,7604,293,12,Understood.,q,MR. CROKE,start_answer
2762,7605,293,13,"And as I said, there could be changes to the valuation policy, which is what you asked.",a,THE WITNESS,start_question
2763,7608,293,16,Uh-huh.,q,MR. CROKE,start_answer
2764,7609,293,17,"I'm simply saying that I don't recall of an intra period change and all this valuation policy specifically for that month.  But my question, if you would ask me to guess, would be that it wouldn't have changed.  If the policy came up as a result, this is what it would be. The reality is, one of the important factors is an external policy",a,THE WITNESS,start_answer
2765,7619,294,1,"Mathur - Attorneys' Eyes Only price provider.  And my gut feeling is to help you out on the answers that we don't carry on and on and please try not to answer the same question multiple times because I get confused and I might give different answers and that is not my intention -- there is a chance that the external price provider would have provided a price and hence the price would have been different to a trading price.  And that, we're a price taker, we don't set our own pries, which is what would have happened in most cases.",a,THE WITNESS,start_question
2766,7633,294,15,"At the end of September 2016, after all of the trading reflected on this Exhibit 2, I think as we've discussed, Astra held 47.5 million original face value of the Class A notes.",q,MR. CROKE,start_answer
2767,7638,294,20,Uh-huh.,a,THE WITNESS,start_question
2768,7639,294,21,"And those Class A notes hadn't suffered any write-downs at that point, correct?",q,MR. CROKE,start_answer
2769,7642,294,24,What point?,a,THE WITNESS,start_question
2770,7643,294,25,"At that point, at the end of",q,MR. CROKE,start_answer
2771,7645,295,1,Mathur - Attorneys' Eyes Only September 2016.,a,THE WITNESS,start_answer
2772,7647,295,3,"Yeah, I don't think so, yeah.",a,THE WITNESS,start_question
2773,7648,295,4,"So if you multiply 47.5 million original face value by 30.24, that reflects a valuation for the Abacus 2006-10 securities of approximately 14.4 million at that point?",q,MR. CROKE,start_answer
2774,7653,295,9,That sounds about right.,a,THE WITNESS,start_question
2775,7654,295,10,"Okay. If you look further down this chart, the valuation chart here -- almost at the end, I promise -- at the end of June 2018, do you see that the price is listed as 30.16 rounded?",q,MR. CROKE,start_answer
2776,7660,295,16,Yeah.,a,THE WITNESS,start_question
2777,7661,295,17,Okay. Do you recall whether the Abacus 2006-10 Class A notes had incurred any write-downs by the end of July -- sorry -- do you see that -- do you recall whether the Abacus 2006-10 Class A notes had incurred any write-downs by the end of June 2018?,q,MR. CROKE,start_answer
2778,7669,295,25,"I don't recall, no.",a,THE WITNESS,start_answer
2779,7671,296,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
2780,7672,296,2,"And then at the end of July 2018, do you see that the Abacus 2006-10 valuation has increased from 30.16 to 31.02?",q,MR. CROKE,start_answer
2781,7676,296,6,I see that.,a,THE WITNESS,start_question
2782,7677,296,7,"Do you know whether a write-down in the notional value of the Abacus 2006-10 CDO -- sorry, scratch that. Do you know whether a write-down of a portion of the Class A notes held by Astra could result in an increase in the valuation of those notes based on the expectations of the cash flows that would be received going forward because it's on a smaller denominator?",q,MR. CROKE,start_chat
2783,7687,296,17,Objection.,side_chat,MR. ITKIN,start_answer
2784,7688,296,18,"Could the valuation change with the write-down, is what I simply hear from you?",a,THE WITNESS,start_question
2785,7691,296,21,Uh-huh.,q,MR. CROKE,start_answer
2786,7692,296,22,The answer is yes.,a,THE WITNESS,start_question
2787,7693,296,23,"And just because the price is a percentage of the outstanding face value, if the outstanding face value declines due",q,MR. CROKE,start_answer
2788,7697,297,1,"Mathur - Attorneys' Eyes Only to a write-down, but you still expect to receive the same amount of cash flows in the bond over time, all else equal, would that result in an increase in the price as a percentage of the outstanding face value?",a,THE WITNESS,start_chat
2789,7703,297,7,Objection.,side_chat,MR. ITKIN,start_answer
2790,7704,297,8,"Generally speaking, yes, that could happen, yes.",a,THE WITNESS,start_question
